rownames,sex,age,educ,farm,hhsize,commune,lnhhexp,lnexp12m
108,1,56,7,0,5,4,10.05827236,5.337538242
109,1,52,4,0,4,4,10.11488056,7.575584888
110,1,54,5,1,7,4,10.53356075,9.56962204
111,1,42,4,0,4,4,10.85748005,8.294049263
112,1,45,3,0,5,4,9.420082092,
113,1,59,9,0,9,4,10.96625519,5.703782558
114,1,47,9,0,4,4,10.76388741,
115,1,72,5,0,4,4,9.826499939,8.170751572
116,1,64,3,0,7,4,10.28095722,7.265429497
117,1,59,7,0,5,4,10.36646938,7.007600784
118,2,41,7,0,4,4,9.851154327,4.919981003
119,1,41,6,0,5,4,10.7741642,7.928766251
120,1,51,6,0,4,4,10.08526993,7.170119762
121,1,58,7,0,2,4,9.340963364,3.258096457
122,2,54,2,0,8,4,9.396284103,8.342840195
123,1,66,9,0,3,4,10.8816576,
124,1,67,2,0,5,4,10.07702255,7.030857563
125,1,44,7,0,4,5,9.69509697,3.68887949
126,1,42,7,0,4,5,10.10333633,5.480638981
127,1,38,4,0,4,5,9.266519547,4.762174129
128,1,40,7,0,5,5,11.58788776,4.820281506
129,2,33,9,0,2,5,10.4815073,4.276666164
130,2,40,7,0,1,5,9.255520821,
131,2,67,3,0,2,5,9.107154846,3.663561583
132,1,36,3,0,3,5,10.01212597,9.380083084
133,1,62,3,0,5,5,9.411354065,
134,1,43,5,0,6,5,10.69482899,5.459585667
135,1,37,7,0,6,5,10.78638363,7.37400198
136,1,45,7,0,4,5,9.101706505,8.086410522
137,1,60,7,0,4,5,9.714648247,
138,1,35,7,0,3,5,9.450660706,5.129898548
139,2,44,7,0,8,5,10.62473583,6.966024399
140,2,56,3,0,4,5,8.51261425,6.727431774
141,2,55,7,0,3,5,9.741948128,5.204006672
142,1,71,3,0,4,5,11.30810356,10.63705635
143,1,29,6,0,4,5,11.12545681,5.170484066
144,1,36,4,0,4,5,10.58163261,3.68887949
145,1,50,9,0,5,5,9.776106834,5.659482002
146,1,37,7,0,4,5,9.897350311,5.587248802
147,1,59,7,0,3,5,9.226424217,4.64439106
148,2,59,9,0,2,5,10.53063011,7.08673811
149,2,59,7,0,1,5,8.255619049,5.509388447
150,1,55,9,0,5,5,11.12123489,
151,1,48,7,0,6,5,11.39670849,7.352441311
152,1,40,7,0,6,5,10.96101761,8.129764557
153,1,39,4,0,2,5,9.155261993,7.870929718
154,2,86,0,0,2,5,9.101042747,6.572282314
155,1,36,7,0,7,5,11.19344807,
156,2,23,5,0,2,5,9.601301193,
157,1,65,2,0,8,6,10.16325951,7.146772385
158,2,48,3,0,9,6,10.44916821,6.278521538
159,2,30,7,0,1,6,9.053175926,
160,2,48,3,0,5,6,9.332511902,4.174387455
161,2,70,0,0,2,6,9.354129791,6.120297432
162,2,66,0,1,3,6,9.93775177,8.379079819
163,1,61,7,1,3,6,9.185084343,
164,1,66,2,1,4,6,9.812103271,7.897668362
165,1,69,2,1,2,6,9.024903297,4.174387455
166,1,46,4,1,5,6,9.857603073,3.258096457
167,2,60,7,0,7,6,10.27054405,7.732369423
168,2,67,2,1,2,6,8.963704109,8.307952881
169,2,46,7,0,3,6,9.945902824,6.049733639
170,1,72,3,1,2,6,9.147051811,8.173293114
171,2,81,2,0,5,6,10.22247696,4.356709003
172,1,41,4,0,4,6,10.09041309,8.00302887
173,2,43,7,0,5,6,10.51935005,7.506591797
174,2,56,7,0,3,6,9.00091362,5.897153854
175,1,36,5,0,4,6,9.966584206,9.558882713
176,2,68,2,1,2,6,9.386169434,6.841615677
177,2,44,9,0,3,6,11.07431221,
178,2,39,2,0,3,6,8.899132729,5.860786438
179,1,50,9,0,4,6,10.05852985,
180,2,56,2,0,4,6,10.23494148,7.189922333
181,2,69,3,0,5,6,9.908177376,6.921658039
182,1,59,5,0,1,6,9.054676056,6.675823212
183,2,39,7,0,4,6,10.59967422,
184,2,72,0,1,1,6,8.108747482,4.356709003
185,1,35,3,1,3,6,9.494624138,7.233455181
186,2,55,2,1,3,6,8.930501938,6.120297432
187,2,40,7,0,1,6,8.367795944,5.56068182
188,1,42,6,0,4,6,9.714996338,6.47697258
189,1,55,7,0,1,7,9.535747528,8.234829903
190,1,44,5,0,4,7,10.76982498,6.390240669
191,2,67,2,0,2,7,9.563849449,9.192176819
192,1,73,4,0,6,7,10.49625015,6.543911934
193,2,29,4,0,1,7,9.710143089,
194,1,60,9,0,4,7,10.81269073,7.244227409
195,1,40,9,0,4,7,10.15017223,7.828038216
196,2,78,2,0,4,7,11.41006565,10.76214886
197,2,62,3,0,7,7,10.55321026,6.349139214
198,2,65,2,0,2,7,9.332016945,
199,2,45,2,0,4,7,11.06855202,5.966146946
200,2,62,4,0,2,7,9.748850822,6.659294128
201,2,58,3,0,6,7,10.39884758,8.06463623
202,1,37,5,0,3,7,10.66817188,6.813444614
203,1,24,4,0,4,7,9.536280632,7.170119762
204,2,29,3,0,5,7,11.45139122,7.575584888
205,1,48,4,0,5,7,10.83892155,9.350102425
206,1,69,2,0,7,7,10.48496437,8.087947845
207,2,62,2,0,4,7,9.746813774,6.47697258
208,1,39,4,0,9,7,11.20930004,8.14467907
209,1,29,5,0,3,7,9.913162231,8.268732071
210,2,41,3,0,10,7,10.30390739,8.8007164
211,2,65,2,0,6,7,9.027477264,5.56068182
212,1,30,3,0,5,7,10.27305984,7.016609669
213,1,31,4,0,3,7,10.51106644,3.401197433
214,2,40,2,0,3,7,9.57174015,5.783825397
215,1,33,6,0,4,7,10.3111887,8.026496887
216,1,47,6,0,4,7,10.55866241,5.247024059
217,2,43,9,0,5,7,10.703022,6.824373722
218,1,67,3,0,9,8,11.33872223,8.633375168
219,2,57,3,0,4,8,9.875271797,
220,2,38,9,0,3,8,10.59038448,7.876638412
221,2,61,9,0,3,8,10.10402393,10.5023241
222,2,71,9,0,1,8,9.702863693,8.737132072
223,1,72,3,0,3,8,10.01061153,5.700443745
224,2,83,5,0,4,8,10.66506004,9.261983871
225,2,69,7,0,1,8,9.691851616,6.733401775
226,2,57,9,0,4,8,11.05356884,
227,1,71,5,0,3,8,10.49037457,9.503009796
228,2,57,2,0,2,8,10.83654022,5.56068182
229,2,71,2,0,1,8,9.342092514,5.783825397
230,2,57,2,0,4,8,10.58559799,9.057188988
231,2,60,2,0,4,8,10.73953438,9.655026436
232,2,52,4,0,1,8,9.048425674,
233,2,72,4,0,4,8,9.768810272,9.134430885
234,2,59,9,0,5,8,10.39511681,4.867534637
235,2,43,7,0,4,8,10.70405865,
236,1,39,5,0,4,8,9.811680794,3.258096457
237,1,52,7,0,4,8,10.20808792,8.213923454
238,1,39,5,0,3,8,10.57658577,8.42288208
239,1,81,7,0,2,8,9.423822403,5.966146946
240,2,52,6,0,6,8,11.37382221,8.46210289
241,1,40,4,0,7,8,11.12855148,6.572282314
242,2,32,6,0,4,8,10.50560856,7.409136295
243,2,57,3,0,8,8,11.1339283,7.28619194
244,1,69,4,0,4,8,10.1709013,5.56068182
245,1,43,9,0,3,8,10.29822731,8.468213081
246,1,36,6,0,4,8,10.52833271,8.922657967
247,1,45,4,0,1,8,9.308286667,4.762174129
248,2,82,0,0,1,8,9.159477234,7.828038216
249,2,45,9,0,2,8,10.40083504,
250,1,49,4,0,5,9,10.46944332,
251,1,56,4,0,6,9,10.19794655,6.030685425
252,2,37,3,0,3,9,10.06019974,
253,1,51,4,0,8,9,11.09154034,9.655026436
254,1,40,5,0,4,9,10.65511036,
255,2,76,0,0,3,9,9.142282486,
256,1,51,4,0,2,9,9.419306755,
257,1,44,2,0,5,9,9.701476097,6.907755375
258,2,54,0,0,2,9,8.913054466,4.867534637
259,2,27,2,0,4,9,9.315918922,6.946976185
260,2,57,4,0,1,9,8.813009262,5.298317432
261,1,75,2,0,4,9,9.785237312,7.79152298
262,2,51,2,0,6,9,10.10838509,7.470223904
263,2,66,2,0,2,9,10.76089478,
264,2,57,2,0,4,9,10.6593523,5.966146946
265,1,49,5,0,6,9,11.07975864,6.511745453
266,2,47,2,0,5,9,9.564347267,5.966146946
267,1,44,3,0,3,9,10.18856049,4.867534637
268,2,74,0,0,5,9,9.837802887,5.56068182
269,2,65,3,0,3,9,10.54663372,8.467582703
270,1,29,3,0,1,9,9.160284042,6.253829002
271,1,56,3,0,8,9,11.33284187,7.790696144
272,1,51,5,0,5,9,10.48378277,
273,2,56,3,0,4,9,11.12193584,10.411479
274,1,42,5,0,5,9,11.16405296,7.909856796
275,2,67,2,0,4,9,10.21197796,9.339173317
276,2,42,3,0,5,9,10.52521229,6.47697258
277,2,51,2,0,5,9,9.645153046,
278,1,67,5,0,4,9,10.34636879,7.043159962
279,2,44,4,0,4,9,10.0847435,6.708084106
280,2,32,2,0,4,10,9.802962303,4.356709003
281,2,38,2,0,6,10,9.884301186,8.620832443
282,2,56,2,0,4,10,9.475819588,5.783825397
283,1,65,6,0,2,10,9.439076424,5.966146946
284,1,67,2,0,7,10,11.62312412,5.337538242
285,1,44,3,0,3,10,9.620476723,7.352441311
286,2,43,5,0,4,10,10.389925,9.341456413
287,2,64,2,0,3,10,10.33027267,8.086410522
288,1,46,3,0,4,10,9.878479958,3.258096457
289,1,60,4,0,1,10,10.42188835,5.966146946
290,2,55,2,0,4,10,9.992697716,
291,1,32,3,0,7,10,10.81499481,8.004365921
292,2,34,5,0,4,10,10.13141632,6.739336491
293,1,58,3,0,1,10,8.857999802,
294,1,84,3,0,6,10,10.33003807,7.853604794
295,1,64,3,0,6,10,9.824563026,4.962844849
296,1,59,5,0,7,10,11.045578,
297,1,56,9,0,5,10,11.02893829,6.253829002
298,1,68,3,0,8,10,10.56383324,8.623173714
299,2,50,3,0,7,10,10.04445362,9.790318489
300,1,41,9,0,5,10,10.72934628,
301,2,39,6,0,4,10,10.30260372,5.509388447
302,1,45,3,0,6,10,9.878650665,4.510859489
303,1,59,3,0,5,10,10.93714809,8.617038727
304,1,64,9,0,2,10,10.48530483,6.47697258
305,2,45,7,0,3,10,10.3188448,8.280964851
306,2,43,5,0,4,10,10.75061607,6.393590927
307,2,61,2,0,19,10,11.53757668,8.866299629
308,1,41,3,0,4,10,10.48133564,7.265429497
309,2,70,3,0,6,10,11.75361633,8.628734589
310,1,52,5,0,3,10,9.953104973,
311,1,62,9,0,5,10,10.37779999,10.02371216
312,2,44,3,0,5,11,10.79502773,6.625392437
313,2,39,7,0,4,11,10.4396143,6.813444614
314,2,35,4,0,6,11,10.09938526,10.42783165
315,2,60,0,0,3,11,8.769001961,6.659294128
316,2,54,9,0,6,11,10.63703251,8.990067482
317,1,46,4,0,7,11,11.38292027,6.061457157
318,2,51,0,0,8,11,11.07295036,8.961878777
319,1,48,9,0,4,11,10.18510628,6.421622276
320,1,40,5,0,6,11,9.841248512,7.183111668
321,1,44,3,0,6,11,10.4593792,6.202535629
322,1,35,4,0,3,11,10.08145523,6.47697258
323,1,45,9,0,6,11,10.60124779,4.787491798
324,2,40,4,0,7,11,10.98839951,7.730175018
325,1,28,5,0,6,11,11.63828373,8.019613266
326,1,61,4,0,6,11,10.64677715,6.813444614
327,2,46,9,0,4,11,9.891153336,4.736198425
328,1,31,3,0,5,11,10.38982677,8.789507866
329,1,53,3,0,4,11,9.851466179,
330,1,69,3,0,8,11,10.24242496,3.951243639
331,2,62,3,0,3,11,10.32746315,8.042378426
332,2,36,3,0,5,11,10.49559021,7.637716293
333,2,52,3,0,8,11,10.00631905,7.520776272
334,2,57,4,0,6,11,10.23961449,7.497761726
335,2,30,3,0,6,11,10.21897411,5.966146946
336,2,67,2,0,6,11,10.53347301,
337,1,35,4,0,3,11,9.732840538,
338,1,51,2,0,8,11,9.887009621,6.253829002
339,2,42,2,0,4,11,9.231526375,4.962844849
340,1,40,0,0,5,11,9.64543438,6.761572838
341,1,34,2,0,5,11,10.51324463,6.802394867
342,1,53,0,0,4,12,9.908402443,5.56068182
343,1,51,5,0,4,12,10.42230892,9.529157639
344,2,72,4,0,4,12,9.81289196,3.258096457
345,2,46,3,0,7,12,10.31845188,5.56068182
346,2,62,3,0,3,12,10.34077168,4.007333279
347,1,34,2,1,4,12,10.14299488,
348,1,38,2,0,4,12,10.00573635,7.134891033
349,2,57,3,0,5,12,11.16918278,6.030685425
350,2,55,2,0,10,12,10.59500027,7.170119762
351,1,38,2,0,8,12,10.75325775,8.317522049
352,2,56,2,0,3,12,9.854802132,
353,2,47,7,0,2,12,9.869538307,
354,2,56,2,0,11,12,10.79621315,9.633317947
355,2,53,0,0,8,12,10.00755501,
356,1,63,2,0,5,12,10.22153282,4.867534637
357,2,49,0,0,2,12,9.246217728,7.700747967
358,2,53,3,0,4,12,9.77287674,8.120885849
359,1,50,3,0,7,12,10.43195343,5.56068182
360,1,43,3,0,6,12,10.01716995,7.292336941
361,2,41,3,0,3,12,9.570783615,8.795885086
362,1,46,3,0,4,12,10.17026138,7.334981918
363,2,66,0,0,6,12,10.21881962,10.74311352
364,2,49,2,0,5,12,10.03810501,7.229838848
365,1,66,9,0,5,12,11.17409325,5.768321037
366,2,58,0,0,3,12,9.489439011,
367,2,35,3,0,4,12,10.34353065,7.546446323
368,1,58,4,0,6,12,10.75435162,5.590987206
369,1,48,4,0,9,12,10.20688534,7.94484663
370,2,54,2,0,3,12,9.877794266,7.985484123
371,1,48,4,0,6,12,9.963228226,8.538759232
372,2,39,4,0,7,12,10.78121281,8.608860016
373,1,41,5,0,4,12,9.335375786,5.049856186
374,1,54,3,0,5,13,10.87917423,6.659294128
375,1,39,4,0,4,13,9.780024529,
376,1,49,6,0,10,13,11.42834568,7.527256012
377,1,61,3,0,5,13,10.97072697,8.439880371
378,2,54,2,0,3,13,9.85185051,6.579251289
379,2,37,2,0,5,13,11.11577225,7.912056923
380,1,56,2,0,8,13,11.19961929,3.912023067
381,1,43,9,0,3,13,11.07703114,
382,2,51,7,0,2,13,9.68639946,5.272999763
383,1,44,9,0,2,13,11.50386906,7.803843498
384,1,49,4,0,5,13,10.7423048,9.735069275
385,2,49,2,0,7,13,10.7169838,4.867534637
386,2,38,2,0,6,13,11.38202763,10.03512955
387,1,52,9,0,6,13,10.44143009,9.199785233
388,1,60,0,0,7,13,10.48220253,4.60517025
389,2,65,3,0,9,13,10.82628822,7.770645142
390,2,64,3,0,2,13,10.40729141,7.573531151
391,2,35,4,0,5,13,9.678455353,6.608000755
392,1,64,3,0,10,13,10.73290634,8.381831169
393,2,44,2,0,6,13,10.09760094,6.747586727
394,2,59,2,0,2,13,9.512670517,7.170119762
395,1,50,4,0,4,13,10.50638294,7.106606007
396,1,37,4,0,6,13,10.53684711,5.455321312
397,1,71,4,0,5,13,10.97001171,8.991437912
398,1,39,3,0,8,13,9.575522423,
399,2,49,3,0,5,13,10.01201916,5.56068182
400,1,55,2,0,11,13,10.56847477,3.951243639
401,1,29,4,0,3,13,10.69211102,
402,1,77,2,0,2,13,9.948813438,
403,1,63,2,0,10,13,10.71009636,8.909235001
404,2,64,3,0,1,14,9.483823776,7.575584888
405,1,80,3,0,2,14,10.07667923,
406,2,32,3,0,5,14,10.4432106,6.393590927
407,2,60,0,0,4,14,10.36204052,7.768956184
408,1,61,2,0,1,14,10.19986725,9.116029739
409,1,44,4,0,5,14,10.95934391,
410,2,69,2,0,6,14,10.16150379,7.189922333
411,1,40,5,0,10,14,10.93826389,7.276556492
412,2,49,4,0,6,14,10.33560944,6.721425533
413,2,35,2,0,2,14,10.25430679,4.248495102
414,2,48,3,0,3,14,9.409115791,6.214608192
415,1,39,9,0,4,14,10.41380978,6.661854744
416,1,66,2,0,7,14,10.8023634,7.640123367
417,1,52,2,0,6,14,10.36670589,5.966146946
418,2,35,2,0,6,14,9.941040993,5.204006672
419,1,47,0,0,6,14,10.01240349,5.823045731
420,1,66,3,0,9,14,10.85596657,7.818027973
421,1,63,3,0,9,14,10.83801174,7.620214939
422,2,51,4,0,3,14,10.99322701,7.393262863
423,1,54,5,0,4,14,10.07896709,5.981414318
424,1,52,5,0,5,14,10.86989117,8.674197197
425,2,40,3,0,10,14,10.91881561,6.813444614
426,1,43,9,0,6,14,11.59593773,
427,2,53,2,0,5,14,9.795693398,7.935587406
428,1,71,2,0,9,14,10.70959949,4.510859489
429,2,56,3,0,12,14,10.85876942,8.379079819
430,1,61,4,0,4,14,10.23944759,5.783825397
431,2,72,0,0,2,14,9.105931282,4.867534637
432,2,53,3,0,5,14,10.8792057,7.907283783
433,2,37,3,0,7,14,10.56416798,
434,1,32,7,0,4,14,10.37273884,6.908754826
435,2,30,3,0,4,14,11.36738682,7.621195316
436,1,42,5,0,4,15,9.943318367,4.64439106
437,1,52,4,0,6,15,10.15712261,5.783825397
438,1,69,6,0,5,15,10.53311443,5.56068182
439,1,38,3,0,6,15,10.41680717,6.659294128
440,2,40,9,0,4,15,10.76057434,
441,1,31,9,0,3,15,10.17324257,4.174387455
442,1,68,2,0,6,15,10.47679996,4.174387455
443,2,54,3,0,6,15,11.28887272,9.631678581
444,2,44,7,0,5,15,10.20454693,
445,1,32,7,0,2,15,10.42844391,
446,1,47,4,0,6,15,10.88826847,5.56068182
447,1,33,5,0,3,15,10.67349243,7.627544403
448,2,24,3,0,4,15,9.635473251,8.934323311
449,1,48,4,0,4,15,10.34262562,7.889459133
450,1,60,3,0,4,15,10.46320629,5.455321312
451,1,58,3,0,4,15,10.3732214,8.17442131
452,2,63,2,0,3,15,9.820215225,7.170119762
453,2,36,3,0,4,15,10.21457958,7.170119762
454,2,41,3,0,5,15,10.3478384,7.863266945
455,1,41,3,0,4,15,9.874941826,5.56068182
456,2,32,5,0,4,15,10.58057213,8.779557228
457,2,37,3,0,4,15,10.83935833,
458,1,36,3,0,4,15,10.88084793,6.784457207
459,1,47,7,0,6,15,10.14985561,8.234829903
460,2,42,5,0,4,15,10.37132359,7.170119762
461,1,66,9,0,3,15,10.58700371,5.966146946
462,1,43,3,0,4,15,10.04834557,
463,1,28,3,0,3,15,9.910022736,
464,1,37,3,0,4,15,10.56215191,5.272999763
465,2,35,4,0,3,15,9.905866623,8.556413651
466,2,78,3,0,1,16,8.908631325,
467,1,68,2,0,9,16,10.33225822,6.253829002
468,2,55,2,0,6,16,9.970492363,
469,1,67,2,0,4,16,9.566404343,6.659294128
470,2,65,7,0,1,16,9.215596199,4.174387455
471,2,57,2,0,3,16,10.06805706,6.659294128
472,2,57,2,0,8,16,10.77250481,7.640123367
473,1,46,6,0,4,16,9.746675491,7.064759254
474,2,42,3,0,3,16,9.414798737,
475,2,69,0,0,1,16,8.686795235,8.333270073
476,2,35,4,0,5,16,11.12649059,6.813444614
477,2,60,2,0,1,16,8.383971214,
478,1,50,2,0,4,16,10.47302628,10.08789063
479,2,38,5,0,6,16,10.08389091,7.130898952
480,2,56,3,0,5,16,10.81328869,
481,1,66,4,0,2,16,9.361063957,6.659294128
482,2,43,3,0,5,16,10.29593945,6.371612072
483,1,54,9,0,4,16,10.85746384,6.659294128
484,2,40,7,0,1,16,9.776463509,
485,1,43,9,0,5,16,10.5710268,6.109247684
486,1,35,7,0,4,16,10.21357918,5.783825397
487,1,42,3,0,6,16,9.922767639,
488,2,39,4,0,3,16,10.19029808,9.328834534
489,2,58,4,0,4,16,10.57419682,9.611127853
490,2,70,3,0,2,16,8.881035805,5.272999763
491,1,51,6,0,4,16,10.0061903,
492,2,48,9,0,3,16,10.65896797,
493,1,56,4,0,6,16,10.45290852,7.265429497
494,1,34,9,0,4,16,10.77866268,
495,1,36,7,0,4,16,10.45986557,
496,1,39,7,0,3,16,10.03619862,
497,1,29,4,0,3,16,9.199608803,6.165417671
498,1,67,9,0,8,17,10.53549194,6.41509676
499,2,63,4,0,6,17,10.88247776,8.853665352
500,1,45,9,0,6,17,11.13882542,6.272877216
501,2,39,3,0,4,17,10.65711308,5.455321312
502,1,53,4,0,6,17,10.11916065,7.640123367
503,1,45,9,0,5,17,10.47891998,6.253829002
504,2,80,2,0,2,17,9.466737747,8.628734589
505,1,36,9,0,4,17,10.70537186,7.189922333
506,1,46,2,0,6,17,9.810943604,7.575584888
507,2,34,5,0,4,17,9.866668701,4.787491798
508,1,65,3,0,5,17,10.45016766,9.550235748
509,1,63,3,0,4,17,9.836638451,7.76259613
510,1,45,9,0,2,17,10.34011841,
511,2,49,7,0,2,17,9.596128464,
512,2,45,2,0,3,17,9.563167572,7.21890974
513,1,62,3,0,3,17,9.870529175,5.049856186
514,1,45,5,0,6,17,11.18194675,8.086410522
515,1,46,3,0,9,17,10.34338093,6.572282314
516,1,61,5,0,4,17,10.48440647,5.56068182
517,2,59,2,0,5,17,10.08128929,8.103796959
518,2,35,9,0,3,17,10.06742382,7.470223904
519,2,54,0,0,2,17,9.818131447,8.364042282
520,1,71,4,0,5,17,10.35947132,6.572282314
521,2,54,3,0,3,17,9.849049568,5.56068182
522,2,41,9,0,4,17,10.05457115,6.47697258
523,2,43,5,0,4,17,9.969762802,6.841615677
524,1,38,5,0,5,17,10.46136951,
525,2,38,4,0,4,17,10.0125227,6.120297432
526,2,52,3,0,1,17,8.535354614,3.218875885
527,2,37,3,0,3,17,10.54499435,
528,1,52,5,0,7,18,10.05134392,8.045588493
529,2,65,2,0,4,18,10.10890007,5.56068182
530,2,68,3,0,4,18,9.838624954,8.133294106
531,2,56,0,0,5,18,10.23348713,
532,2,66,4,0,2,18,10.22962856,8.674197197
533,1,51,4,0,6,18,11.25763035,7.863266945
534,2,34,9,0,5,18,10.74405861,5.337538242
535,1,42,7,0,4,18,9.757398605,7.318539619
536,2,39,7,0,6,18,12.20242119,8.451053619
537,2,39,4,0,5,18,11.23270321,8.268732071
538,2,86,0,0,2,18,8.901641846,6.47697258
539,2,50,4,0,2,18,10.083395,4.962844849
540,1,47,4,0,4,18,10.12282085,
541,1,35,7,0,5,18,10.56104469,5.272999763
542,2,44,3,0,6,18,11.03673267,5.966146946
543,2,36,7,0,1,18,9.579836845,
544,2,62,0,0,4,18,9.676934242,
545,1,65,7,0,7,18,10.81009865,
546,1,61,9,0,4,18,10.74851131,
547,2,73,9,0,4,18,10.03622723,5.655992031
548,2,46,4,0,2,18,9.778013229,
549,1,31,4,0,6,18,10.65790939,8.451053619
550,1,62,7,0,4,18,10.29994297,
551,2,55,3,0,3,18,9.408886909,7.170119762
552,2,73,2,0,2,18,9.426224709,
553,1,55,7,0,3,18,10.37052536,
554,2,59,4,0,2,18,10.02055836,6.371612072
